Sentence Text	Check-worthy Probability	Actual Label
Now, I don't think President Obama and Vice President Biden get the credit they deserve for saving us from the worst economic crisis of our lifetimes.	0.0009263193532949297	0
And we will stand up against mean and divisive rhetoric wherever it comes from.	0.0009447105566515934	0
Our country needs your ideas, energy and passion.	0.01794948393769502	0
Some of you are frustrated — even furious.	0.002187804409450121	0
I alone can fix it?	0.5904555944512805	0
When people hear those words, they hear America.	0.024406365624958785	0
Like so much else in my life, I got this from my mother too.	0.0006576420287063347	0
Isn't he forgetting?	0.05690411120689312	0
And here's what I believe.	0.13572293798107735	0
Now, sometimes, sometimes the people at this podium are new to the national stage.	0.008147184463874156	0
And Chelsea, thank you.	0.0027328935259825797	0
And in the end, it comes down to what Donald Trump doesn't get: that America is great — because America is good.	0.006754414104063035	0
Well, we heard Donald Trump's answer last week at his convention.	0.027643973182551393	0
There's too much inequality.	0.008742284519671115	0
"""The truth is, through all these years of public service, the """"service"""" part has always come easier to me than the """"public"""" part."""	0.027287468837796144	0
Then somehow, they began listening to each other, compromising, finding common purpose.	0.0028798878914758088	0
I know, I know because I've seen it in the lives of people across America who get knocked down and get right back up.	0.0006451739376750124	0
And if you give me the chance, that's what I'll do as president.	0.0008415405976167456	0
But too many aren't.	0.0025859472601192043	0
And she was right.	0.07964044005275973	0
We have the most dynamic and diverse people in the world.	0.011482164103340705	0
On Tuesday night, I was so happy to see that my explainer-in-chief is still on the job.	0.001470151232484699	0
That is the story of America.	0.006629468273756614	0
If you believe the minimum wage should be a living wage, and no one working full time should have to raise their children in poverty, join us.	0.0005669692719543938	0
Thank you.	0.003941044062939653	0
Let's look to the future with courage and confidence.	0.002151141018117765	0
America needs every one of us to lend our energy, our talents, our ambition to making our nation better and stronger.	0.007509639142727898	0
I believe that when we have millions of hardworking immigrants contributing to our economy, it would be self-defeating and inhumane to try to kick them out.	0.0017982064151219153	0
Way too many dreams die in the parking lots of banks.	0.0011545665034161023	0
Two-hundred-and-forty years later, we still put our faith in each other.	0.0018546982268322224	0
So let's be stronger together, my fellow Americans.	0.011335610994932814	0
"""When I tried to hide from a neighborhood bully, she literally blocked the door."""""""	0.020554950738808378	0
Keeping our nation safe and honoring the people who do that work will be my highest priority.	0.07496184508626925	0
He wants to divide us from the rest of the world, and from each other.	0.0006607201518956833	0
Our military is a national treasure.	0.03798966258947378	0
"""That's why """"Stronger Together"""" is not just a lesson from our history."""	0.022128089041994765	0
None of us can raise a family, build a business, heal a community or lift a country totally alone.	0.01997708308639229	0
In America, if you can dream it, you should be able to build it.	0.022614832607928775	0
And I couldn't stop thinking of my mother and what she'd gone through as a child.	0.008921010237502138	0
And he was right.	0.14102172264159749	0
It won't be easy or quick, but make no mistake — we will prevail.	0.005981687734978896	0
Will we stay true to that motto?	0.01280007091228739	0
But just look for a minute at the strengths we bring as Americans to meet these challenges.	0.017012297501270722	0
And first lady Michelle Obama reminded us that our children are watching, and the president we elect is going to be their president, too.	0.0007479323988409384	0
We should be so proud that those words are associated with us.	0.004826836973836623	0
We lost our mother a few years ago, but I miss her every day.	0.006899629530317723	0
My mother, Dorothy, was abandoned by her parents as a young girl.	0.010423657508537187	1
He was wearing a full body brace that must have weighed 40 pounds, because I leaned over to lift him up.	0.30726849928911265	0
America is stronger because of President Obama's leadership, and I'm better because of his friendship.	0.17445190115338383	0
Because it's not just a detail if it's your kid — if it's your family.	0.48456677687796024	0
They had courage.	0.13335739486233802	0
You know, anyone, anyone reading the news can see the threats and turbulence we face.	0.024697785004062715	0
I refuse to believe we can't find common ground here.	0.13255665538987568	0
There's a lot of work to do.	0.00751045647405131	0
Immigration.	0.8976114427280814	0
When representatives from 13 unruly colonies met just down the road from here, some wanted to stick with the king.	0.0014461569459047164	0
Donald Trump says he wants to make America great again — well, he could start by actually making things in America again.	0.060274663980034525	0
When he's gotten a tough question from a reporter.	0.012034502042513284	0
You've put economic and social justice issues front and center, where they belong.	0.00715477242679925	0
The lesson she passed on to me, years later, stuck with me: No one gets through life alone.	0.004439758625122781	0
That's the future we're working toward.	0.002590256224635452	0
Children like Ryan kept me going when our plan for universal health care failed and kept me working with leaders of both parties to help create the Children's Health Insurance Program that covers 8 million kids in our country.	0.004726479986491722	1
You do it step-by-step, year-by-year, sometimes even door-by-door.	0.012044364877186636	0
We have the most tolerant and generous young people we've ever had.	0.018775676594200968	0
He's forgetting every last one of us.	0.1999809099259313	0
And to all of your supporters here and around the country: I want you to know, I've heard you.	0.0011793382418808826	0
How are you going to break through the gridlock in Washington?	0.00800724260093937	0
Or said that an American judge couldn't be fair because of his Mexican heritage.	0.5507384631781744	0
But even more important than the history we make tonight, is the history we will write together in the years ahead.	0.010737147164076147	0
Too little social mobility.	0.006926118444502042	0
"""They thought he couldn't possibly mean all the horrible things he says — like when he called women """"pigs."""" """	0.05248248197381584	0
Because he believed that if he gave everything he had, his children would have a better life than he did.	0.09766485594424754	0
Thank you.	0.003941044062939653	0
That took courage.	0.8176307848083689	0
The Founders showed us that.	0.005519376329688663	0
You might have noticed, I love talking about mine.	0.0062220912145989765	0
That's why we need to appoint Supreme Court justices who will get money out of politics and expand voting rights, not restrict them.	0.0051272817857092815	0
None of us ever have or can do it alone.	0.03846677296876133	0
After the four days of this convention, you've seen some of the people who've inspired me.	0.03335195353577322	0
That's the same sales pitch he made to all those small businesses.	0.17332775071738135	0
